,Description,Timing,Open Book Exam,Component Scale,Must Pass Component,% of Final Grade,Assessment Type,Module Code,Scaled % of Final Grade,Work Type,Level,Credits,School,Module Coordinator,Semester,Enrolled Students 22/23,Stage,Student Credits,Assessment Credits
55,Examination: End-of trimester examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,50,Examination,EEEN30120,50,In person,3,5.0,Electrical & Electronic Eng,Assoc Professor Terence O'Donnell,Spring,49,,122.5,2.5
56,Examination: Midterm class test.,Week 8,Yes,Standard conversion grade scale 40%,No,20,Examination,EEEN30120,20,In person,3,5.0,Electrical & Electronic Eng,Assoc Professor Terence O'Donnell,Spring,49,,49.0,1.0
57,Lab Report: Series of short reports on laboratory work,Varies over the Trimester,,Graded,No,20,Lab Report,EEEN30120,20,Blended,3,5.0,Electrical & Electronic Eng,Assoc Professor Terence O'Donnell,Spring,49,,49.0,1.0
58,Project: 2 minor project reports,Throughout the Trimester,,Graded,No,76,Project,EEEN30150,76,At home,3,5.0,Electrical & Electronic Eng,Assoc Professor Paul Curran,Spring,201,,763.8,3.8
59,Lab Report: 1 laboratory report,Throughout the Trimester,,Graded,No,24,Lab Report,EEEN30150,24,Blended,3,5.0,Electrical & Electronic Eng,Assoc Professor Paul Curran,Spring,201,,241.2,1.2
60,Assignment: Assignments and class activities,Throughout the Trimester,,Graded,No,30,Assignment,EEEN30160,30,At home,3,5.0,Electrical & Electronic Eng,Dr Giacomo Severini,Autumn,72,,108.0,1.5
61,Project: Project,Throughout the Trimester,,Graded,No,20,Project,EEEN30160,20,At home,3,5.0,Electrical & Electronic Eng,Dr Giacomo Severini,Autumn,72,,72.0,1.0
62,Examination: 2-hour End of Semester Exam,2 hour End of Trimester Exam,No,Graded,No,50,Examination,EEEN30160,50,In person,3,5.0,Electrical & Electronic Eng,Dr Giacomo Severini,Autumn,72,,180.0,2.5
63,Examination: Midterm Exam,Varies over the Trimester,Yes,Alternative linear conversion grade scale 40%,No,20,Examination,EEEN30180,20,In person,3,5.0,Electrical & Electronic Eng,Dr Stephen Redmond,Spring,55,,55.0,1.0
64,Lab Report: Labs,Throughout the Trimester,,Alternative linear conversion grade scale 40%,No,30,Lab Report,EEEN30180,30,Blended,3,5.0,Electrical & Electronic Eng,Dr Stephen Redmond,Spring,55,,82.5,1.5
65,Examination: Final,2 hour End of Trimester Exam,Yes,Alternative linear conversion grade scale 40%,No,50,Examination,EEEN30180,50,In person,3,5.0,Electrical & Electronic Eng,Dr Stephen Redmond,Spring,55,,137.5,2.5
66,Assignment: Design assignments during the trimester. The weight of each assignment and the submission date will be provided on Brightspace.,Throughout the Trimester,,Graded,No,40,Assignment,EEEN30190,40,At home,3,5.0,Electrical & Electronic Eng,Mr Brian Mulkeen,Autumn,38,,76.0,2.0
67,"Examination: Written exam, invigilated, with access to lecture notes and one textbook.",2 hour End of Trimester Exam,Yes,Standard conversion grade scale 40%,No,60,Examination,EEEN30190,60,In person,3,5.0,Electrical & Electronic Eng,Mr Brian Mulkeen,Autumn,38,,114.0,3.0
68,"Project: Interim Report, due at the start of the Spring Trimester",Week 1,,Graded,No,15,Project,EEEN30220,45,At home,3,15.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,2 Trimester duration (Aut-Spr),9,,20.25,2.25
69,"Presentation: Oral Presentation, towards the end of the Autumn trimester",Week 12,,Graded,No,10,Presentation,EEEN30220,30,In person,3,15.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,2 Trimester duration (Aut-Spr),9,,13.5,1.5
70,"Presentation: Poster Presentation, around week 8 of the Spring trimester",Week 8,,Graded,No,10,Presentation,EEEN30220,30,In person,3,15.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,2 Trimester duration (Aut-Spr),9,,13.5,1.5
71,"Project: Final Project Report and Interview, at the end of the Spring trimester",Throughout the Trimester,,Graded,No,65,Project,EEEN30220,195,At home,3,15.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,2 Trimester duration (Aut-Spr),9,,87.75,9.75
72,"Project: Interim Report, due at the start of the Spring Trimester",Week 1,,Graded,No,15,Project,EEEN30230,45,At home,3,15.0,Electrical & Electronic Eng,Dr Nam Tran,2 Trimester duration (Aut-Spr),5,,11.25,2.25
73,"Presentation: Oral Presentation, towards the end of the Autumn trimester",Week 12,,Graded,No,10,Presentation,EEEN30230,30,In person,3,15.0,Electrical & Electronic Eng,Dr Nam Tran,2 Trimester duration (Aut-Spr),5,,7.5,1.5
74,"Presentation: Poster Presentation, around week 8 of the Spring trimester",Week 8,,Graded,No,10,Presentation,EEEN30230,30,In person,3,15.0,Electrical & Electronic Eng,Dr Nam Tran,2 Trimester duration (Aut-Spr),5,,7.5,1.5
75,"Project: Final Project Report and Interview, at the end of the Spring trimester. Grading takes account of the overall achievement of the project and all the work completed as part of the project.",Unspecified,,Graded,No,65,Project,EEEN30230,195,At home,3,15.0,Electrical & Electronic Eng,Dr Nam Tran,2 Trimester duration (Aut-Spr),5,,48.75,9.75
76,Presentation: Interim presentation,Week 12,,Graded,No,10,Presentation,EEEN30240,30,In person,3,15.0,Electrical & Electronic Eng,Dr Giacomo Severini,2 Trimester duration (Aut-Spr),3,,4.5,1.5
77,Lab Report: Interim Report,Week 12,,Graded,No,10,Lab Report,EEEN30240,30,Blended,3,15.0,Electrical & Electronic Eng,Dr Giacomo Severini,2 Trimester duration (Aut-Spr),3,,4.5,1.5
78,Project: Final project report and discussion,End of Year Transition,,Graded,Yes,70,Project,EEEN30240,210,At home,3,15.0,Electrical & Electronic Eng,Dr Giacomo Severini,2 Trimester duration (Aut-Spr),3,,31.5,10.5
79,Presentation: Poster presentation,Varies over the Trimester,,Graded,No,10,Presentation,EEEN30240,30,In person,3,15.0,Electrical & Electronic Eng,Dr Giacomo Severini,2 Trimester duration (Aut-Spr),3,,4.5,1.5
80,Lab Report: 3 laboratory reports,Varies over the Trimester,,Graded,No,100,Lab Report,EEEN40010,100,Blended,4,5.0,Electrical & Electronic Eng,Assoc Professor Paul Curran,Autumn,46,,230.0,5.0
81,"Continuous Assessment: Practical work, assessed on brief reports",Throughout the Trimester,,Graded,No,25,Continuous Assessment,EEEN40050,25,At home,4,5.0,Electrical & Electronic Eng,Dr Barry Cardiff,Autumn,60,,75.0,1.25
82,Continuous Assessment: Online quizzes during the trimester,Throughout the Trimester,,Standard conversion grade scale 40%,No,25,Continuous Assessment,EEEN40050,25,At home,4,5.0,Electrical & Electronic Eng,Dr Barry Cardiff,Autumn,60,,75.0,1.25
83,"Examination: Written examination, open book",2 hour End of Trimester Exam,Yes,Standard conversion grade scale 40%,No,50,Examination,EEEN40050,50,In person,4,5.0,Electrical & Electronic Eng,Dr Barry Cardiff,Autumn,60,,150.0,2.5
84,Continuous Assessment: 2 Simulation Assignments. Note that work submitted for each of these assignments will only be graded if it is submitted within one week of the assignment deadline.,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,30,Continuous Assessment,EEEN40060,30,At home,4,5.0,Electrical & Electronic Eng,Professor Mark Flanagan,Autumn,83,,124.5,1.5
85,Examination: End of Trimester written examination,2 hour End of Trimester Exam,No,Alternative linear conversion grade scale 40%,No,70,Examination,EEEN40060,70,In person,4,5.0,Electrical & Electronic Eng,Professor Mark Flanagan,Autumn,83,,290.5,3.5
86,Examination: Final exam,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,60,Examination,EEEN40070,60,In person,4,5.0,Electrical & Electronic Eng,Professor Madeleine Lowery,Spring,28,,84.0,3.0
87,Essay: Essay and presentation on selected special topic in Neural Engineering.,Varies over the Trimester,,Graded,No,5,Essay,EEEN40070,5,At home,4,5.0,Electrical & Electronic Eng,Professor Madeleine Lowery,Spring,28,,7.0,0.25
88,Lab Report: Laboratory work,Varies over the Trimester,,Graded,No,35,Lab Report,EEEN40070,35,Blended,4,5.0,Electrical & Electronic Eng,Professor Madeleine Lowery,Spring,28,,49.0,1.75
89,Assignment: Optimisation Assignments,Varies over the Trimester,,Standard conversion grade scale 40%,No,25,Assignment,EEEN40080,25,At home,4,5.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,Autumn,39,,48.75,1.25
90,Examination: 2 hour end of trimester examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,75,Examination,EEEN40080,75,In person,4,5.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,Autumn,39,,146.25,3.75
91,Continuous Assessment: 2 assignments,Varies over the Trimester,,Standard conversion grade scale 40%,No,40,Continuous Assessment,EEEN40090,40,At home,4,5.0,Electrical & Electronic Eng,Dr Georgios Tzounas,Spring,16,,32.0,2.0
92,Examination: end of semester exam,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,50,Examination,EEEN40090,50,In person,4,5.0,Electrical & Electronic Eng,Dr Georgios Tzounas,Spring,16,,40.0,2.5
93,Class Test: class test,Week 7,,Standard conversion grade scale 40%,No,10,Class Test,EEEN40090,10,In person,4,5.0,Electrical & Electronic Eng,Dr Georgios Tzounas,Spring,16,,8.0,0.5
94,Examination: 2 hour end of trimester exam.,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,60,Examination,EEEN40100,60,In person,4,5.0,Electrical & Electronic Eng,Dr Paul Cuffe,Autumn,17,,51.0,3.0
95,Lab Report: Five laboratory reports with short corresponding exercises.Labs will run in ENG024 in weeks 2 to 11.,Throughout the Trimester,,Alternative linear conversion grade scale 40%,No,40,Lab Report,EEEN40100,40,Blended,4,5.0,Electrical & Electronic Eng,Dr Paul Cuffe,Autumn,17,,34.0,2.0
96,Class Test: class test 1,Week 6,,Alternative linear conversion grade scale 40%,No,10,Class Test,EEEN40110,10,In person,4,5.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,Autumn,39,,19.5,0.5
97,Assignment: 3 assignments,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,30,Assignment,EEEN40110,30,At home,4,5.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,Autumn,39,,58.5,1.5
98,Essay: technical essay on renewable energy topic,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,10,Essay,EEEN40110,10,At home,4,5.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,Autumn,39,,19.5,0.5
99,Examination: final exam,2 hour End of Trimester Exam,No,Alternative linear conversion grade scale 40%,No,50,Examination,EEEN40110,50,In person,4,5.0,Electrical & Electronic Eng,Assoc Professor Damian Flynn,Autumn,39,,97.5,2.5
100,Assignment: Assignment 1,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,10,Assignment,EEEN40120,10,At home,4,5.0,Electrical & Electronic Eng,Hamed Heydari-Doostabad,Spring,18,,9.0,0.5
101,Assignment: Assignment 2,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,10,Assignment,EEEN40120,10,At home,4,5.0,Electrical & Electronic Eng,Hamed Heydari-Doostabad,Spring,18,,9.0,0.5
102,Lab Report: Technical report 1,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,10,Lab Report,EEEN40120,10,Blended,4,5.0,Electrical & Electronic Eng,Hamed Heydari-Doostabad,Spring,18,,9.0,0.5
103,Lab Report: Technical report 2,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,10,Lab Report,EEEN40120,10,Blended,4,5.0,Electrical & Electronic Eng,Hamed Heydari-Doostabad,Spring,18,,9.0,0.5
104,Assignment: Assignment 3,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,10,Assignment,EEEN40120,10,At home,4,5.0,Electrical & Electronic Eng,Hamed Heydari-Doostabad,Spring,18,,9.0,0.5
105,Examination: Final exam,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,50,Examination,EEEN40120,50,In person,4,5.0,Electrical & Electronic Eng,Hamed Heydari-Doostabad,Spring,18,,45.0,2.5
106,Assignment: Channel Equalization,Varies over the Trimester,,Graded,No,15,Assignment,EEEN40130,15,At home,4,5.0,Electrical & Electronic Eng,Dr Nam Tran,Autumn,27,,20.25,0.75
107,Assignment: Image Processing,Varies over the Trimester,,Graded,No,20,Assignment,EEEN40130,20,At home,4,5.0,Electrical & Electronic Eng,Dr Nam Tran,Autumn,27,,27.0,1.0
108,Assignment: Spectral Power Density Estimation,Varies over the Trimester,,Graded,No,15,Assignment,EEEN40130,15,At home,4,5.0,Electrical & Electronic Eng,Dr Nam Tran,Autumn,27,,20.25,0.75
109,Examination: End of trimester exam,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,50,Examination,EEEN40130,50,In person,4,5.0,Electrical & Electronic Eng,Dr Nam Tran,Autumn,27,,67.5,2.5
110,Examination: Multiple in-class exams.,Varies over the Trimester,No,Standard conversion grade scale 40%,No,40,Examination,EEEN40150,40,In person,4,5.0,Electrical & Electronic Eng,Professor Anding Zhu,Autumn,21,,42.0,2.0
111,Continuous Assessment: Home assignments and small projects.,Varies over the Trimester,,Standard conversion grade scale 40%,No,30,Continuous Assessment,EEEN40150,30,At home,4,5.0,Electrical & Electronic Eng,Professor Anding Zhu,Autumn,21,,31.5,1.5
112,Lab Report: Laboratory exercises.,Throughout the Trimester,,Standard conversion grade scale 40%,No,30,Lab Report,EEEN40150,30,Blended,4,5.0,Electrical & Electronic Eng,Professor Anding Zhu,Autumn,21,,31.5,1.5
113,Continuous Assessment: Diary returned to module coordinator,Unspecified,,Graded,Yes,30,Continuous Assessment,EEEN40160,60,At home,4,10.0,Electrical & Electronic Eng,Dr Giacomo Severini,Summer,1,,3.0,3.0
114,Oral Examination: Interview on completion of placement,Unspecified,,Graded,Yes,30,Oral Examination,EEEN40160,60,In person,4,10.0,Electrical & Electronic Eng,Dr Giacomo Severini,Summer,1,,3.0,3.0
115,Lab Report: Final reports by the student and the employer,Unspecified,,Graded,Yes,40,Lab Report,EEEN40160,80,Blended,4,10.0,Electrical & Electronic Eng,Dr Giacomo Severini,Summer,1,,4.0,4.0
116,Continuous Assessment: Diary returned to module coordinator,Unspecified,,Graded,Yes,30,Continuous Assessment,EEEN40170,180,At home,4,30.0,Electrical & Electronic Eng,Dr Giacomo Severini,2 Trimester duration (Spr-Sum),47,,423.0,9.0
117,Oral Examination: Interview on completion of placement,Unspecified,,Graded,Yes,30,Oral Examination,EEEN40170,180,In person,4,30.0,Electrical & Electronic Eng,Dr Giacomo Severini,2 Trimester duration (Spr-Sum),47,,423.0,9.0
118,Lab Report: Final reports by the student and the employer,Unspecified,,Graded,Yes,40,Lab Report,EEEN40170,240,Blended,4,30.0,Electrical & Electronic Eng,Dr Giacomo Severini,2 Trimester duration (Spr-Sum),47,,564.0,12.0
119,"Assignment: Diary, Work Experience Report, Slideshow Presentation",Unspecified,,Graded,No,100,Assignment,EEEN40180,200,At home,4,10.0,Electrical & Electronic Eng,Professor Andrew Keane,Summer,1,,10.0,10.0
120,"Assignment: Diary, Work Experience Report, Slideshow Presentation",Unspecified,,Pass/Fail Grade Scale,No,100,Assignment,EEEN40190,600,At home,4,30.0,Electrical & Electronic Eng,Professor Andrew Keane,2 Trimester duration (Spr-Sum),5,,150.0,30.0
