ARCT10010,Architectural Design I
LARC30170,Site Specific Design 1
LARC30220,Landscape Architecture Internship
LARC30230,Landscape Architecture Internship – Short
LARC40360,Landscape Studio 4 B
LARC40370,Landscape Design Competition 2
LARC40390,Landscape Studio 4A
LARC40420,Landscape Research 1
LARC40430,Landscape Studies: Major Essay
LARC40450,Landscape Architectural Thesis
LARC40510,Landscape Study I 
LARC40520,Landscape Study II 
LARC40540,Rural and Landscape Planning
LARC40550,Building Biodiversity: nature as Builder
LARC40600,Landscape Research 3
LARC40610,Tools for Sust Development
LARC40620,Climate Policy and Politics
PLAN10010,Introduction to Spatial Planning
PLAN10020,History of City Planning
PLAN10030,Urban Design
PLAN10040,Research methods
PLAN10080,Planning and Development Studio
PLAN10090,Research Methods
PLAN20010,Community Development and Planning
PLAN20020,Introduction to GIS
PLAN20030,Local Planning Studio
PLAN20040,Urban & Regional Economics
PLAN20070,Smart Cities
PLAN20080,"Rural Change, Dev.& Plan."
PLAN20090,Socio-Spatial Dynamics
PLAN30010,"Transport, Environment & Sustainability"
PLAN30020,Placemaking: Urban and Rural Design
PLAN30030,Rural & Landscape Planning
PLAN30040,"Planning, Society and Diversity"
PLAN30060,Regional Innovation
PLAN30080,Energy Transitions
PLAN30150,Planning Law
PLAN40010,Planning Methodology
PLAN40020,Placemaking: Urban and Rural Design
PLAN40030,"Planning, Society and Diversity"
PLAN40040,Rural & Landscape Planning
PLAN40050,"Transport, Environment & Sustainability"
PLAN40060,Urban and Regional Development
PLAN40070,Housing Policy and Planning
PLAN40080,Economic and Property Markets
PLAN40090,"Leadership, Project and Development Management"
PLAN40100,International Specialist Studies 1 (Chic)
PLAN40110,International Specialist Studies 2 (Chic)
PLAN40120,International Specialist Studies 3 (Chic)
PLAN40140,Urban Design Studio
PLAN40160,Planning Studio: Plan Making
PLAN40170,MRUP Dissertation
PLAN40200,Nature-Based Solutions
PLAN40210,Design Thesis
PLAN40220,Geographical Information Systems for Policy and Planning
PLAN40230,Governing Nature
PLAN40240,Thesis
PLAN40280,Design Thesis (pathway)
PLAN40290,Capstone Research Project
PLAN40300,Urban Design Studio
PLAN40330,Research Design & Methods
PLAN40340,"Planning, Environ & Public Pol"
PLAN40350,Advanced GIS
PLAN40390,Sustainable Cities
PLAN40420,Planning Pract Internshp 20crs
PLAN40430,Int Specialist Studies 1(Chic)
